_id,isActive,createdAt,plan,businessName,country,industry,verificationStatus,planType
69c5aafa40a5850469e21ebe,True,2026-03-26 21:54:02.761,"{'type': 'FREE_TRIAL', 'freeTrial': {'startedAt': datetime.datetime(2026, 3, 26, 22, 22, 18, 686000), 'endsAt': datetime.datetime(2026, 6, 24, 22, 22, 18, 686000)}}",,,,NOT_STARTED,FREE_TRIAL
69d304a93406e44656e2db2f,True,2026-04-06 00:56:09.005,{'type': 'NONE'},,,,NOT_STARTED,NONE
69d84e11ff86665d3d4ceac3,True,2026-04-10 01:10:41.923,{'type': 'NONE'},,,[],NOT_STARTED,NONE
69d84e26ff86665d3d4ceae2,True,2026-04-10 01:11:02.027,{'type': 'NONE'},,,[],NOT_STARTED,NONE
69ecf13ed20f4a0acbfe7c5f,True,2026-04-25 16:52:14.432,"{'type': 'FREE_TRIAL', 'freeTrial': {'startedAt': datetime.datetime(2026, 4, 25, 17, 14, 29, 12000), 'endsAt': datetime.datetime(2026, 7, 24, 17, 14, 29, 12000)}}",,,[],NOT_STARTED,FREE_TRIAL
69f2cd52b1d7db38e10fc39b,True,2026-04-30 03:32:34.483,{'type': 'NONE'},,,[],NOT_STARTED,NONE
69f67313b4b12206613dcb44,True,2026-05-02 21:56:35.952,"{'type': 'FREE_TRIAL', 'freeTrial': {'startedAt': datetime.datetime(2026, 5, 2, 22, 15, 10, 573000), 'endsAt': datetime.datetime(2026, 7, 31, 22, 15, 10, 573000)}}",,,[],NOT_STARTED,FREE_TRIAL
6a03b634f17c40a03586f7b4,True,2026-05-12 23:22:28.442,"{'type': 'FREE_TRIAL', 'freeTrial': {'startedAt': datetime.datetime(2026, 5, 12, 23, 22, 58, 242000), 'endsAt': datetime.datetime(2026, 8, 10, 23, 22, 58, 242000)}}",,,[],NOT_STARTED,FREE_TRIAL
6a0b41085edb773a55662749,True,2026-05-18 16:40:40.853,"{'type': 'FREE_TRIAL', 'freeTrial': {'startedAt': datetime.datetime(2026, 5, 18, 16, 41, 30, 235000), 'endsAt': datetime.datetime(2026, 8, 16, 16, 41, 30, 235000)}}",Inmobiliaria Impulso León SAC,Perú,['Construcción y Arquitectura'],NOT_STARTED,FREE_TRIAL
6a516874269dd13c50d6d8eb,True,2026-07-10 21:47:32.650,"{'type': 'FREE_TRIAL', 'freeTrial': {'startedAt': datetime.datetime(2026, 7, 10, 21, 53, 3, 548000), 'endsAt': datetime.datetime(2026, 10, 8, 21, 53, 3, 548000)}}",BAMBOO BALANCE PERU S.A.C.,Perú,['E-commerce y Marketplaces'],PENDING,FREE_TRIAL
6a5e84dc5335905510d7acf1,True,2026-07-20 20:28:12.550,{'type': 'NONE'},,,[],NOT_STARTED,NONE
6a7cfe782032e1bad3c26e2f,True,2026-08-12 23:15:04.619,"{'type': 'FREE_TRIAL', 'freeTrial': {'startedAt': datetime.datetime(2026, 8, 12, 23, 15, 47, 778000), 'endsAt': datetime.datetime(2026, 11, 10, 23, 15, 47, 778000)}}",,,[],NOT_STARTED,FREE_TRIAL
